Date,Open,High,Low,Close,Adj Close,Volume
1996-08-08,4.0,5.0,4.0,5.0,4.229530334472656,120
1996-08-09,5.0,5.0,5.0,5.0,4.229530334472656,400
1996-08-12,5.0,5.0,5.0,5.0,4.229530334472656,0
1996-08-13,5.0,5.0,5.0,5.0,4.229530334472656,0
1996-08-14,3.75,3.75,3.75,3.75,3.172147512435913,400
1996-08-15,3.75,3.75,3.75,3.75,3.172147512435913,0
1996-08-16,3.75,3.75,3.75,3.75,3.172147512435913,0
1996-08-19,5.0,5.0,5.0,5.0,4.229530334472656,400
1996-08-20,5.0,5.0,5.0,5.0,4.229530334472656,0
1996-08-21,3.75,3.75,3.75,3.75,3.172147512435913,40
1996-08-22,4.0,8.75,4.0,8.75,7.40167760848999,1380
1996-08-23,9.0,9.0,8.5,8.5,7.190201282501221,400
1996-08-26,8.5,9.25,8.0,9.25,7.824630260467529,2560
1996-08-27,8.5,8.5,8.0,8.0,6.767247676849365,748
1996-08-28,8.25,8.75,8.0,8.5,7.190201282501221,1300
1996-08-29,9.25,9.5,8.75,9.5,8.03610897064209,1008
1996-08-30,9.5,10.75,9.5,10.75,9.093489646911621,1540
1996-09-03,11.0,11.25,9.0,9.0,7.613154411315918,1200
1996-09-04,10.0,10.0,9.0,9.0,7.613154411315918,600
1996-09-05,9.0,9.0,9.0,9.0,7.613154411315918,0
1996-09-06,8.5,8.5,8.5,8.5,7.190201282501221,200
1996-09-09,8.5,8.5,8.5,8.5,7.190201282501221,480
1996-09-10,8.5,8.5,8.5,8.5,7.190201282501221,40
1996-09-11,9.0,9.0,8.5,8.5,7.190201282501221,400
1996-09-12,10.0,10.0,8.75,8.75,7.40167760848999,820
1996-09-13,8.75,8.75,8.75,8.75,7.40167760848999,80
1996-09-16,8.75,8.75,8.75,8.75,7.40167760848999,0
1996-09-17,8.75,8.75,8.75,8.75,7.40167760848999,440
1996-09-18,8.75,8.75,8.75,8.75,7.40167760848999,0
1996-09-19,8.5,8.5,8.5,8.5,7.190201282501221,40
1996-09-20,8.75,8.75,8.5,8.5,7.190201282501221,860
1996-09-23,8.5,8.5,8.5,8.5,7.190201282501221,500
1996-09-24,8.75,8.75,8.75,8.75,7.40167760848999,400
1996-09-25,8.75,8.75,8.75,8.75,7.40167760848999,0
1996-09-26,8.75,8.75,8.75,8.75,7.40167760848999,60
1996-09-27,8.75,8.75,8.75,8.75,7.40167760848999,540
1996-09-30,9.75,9.75,9.75,9.75,8.247584342956543,100
