Date,Open,High,Low,Close,Adj Close,Volume
1992-06-17,8.5,8.75,7.75,7.9375,4.6474504470825195,902000
1992-06-18,7.9375,7.9375,7.5,7.8125,4.574262619018555,421400
1992-06-19,7.8125,7.9375,7.75,7.875,4.610857009887695,453400
1992-06-22,7.875,7.875,7.5625,7.625,4.464479446411133,597200
1992-06-23,7.625,7.75,7.625,7.6875,4.501073837280273,853800
1992-06-24,7.6875,7.75,7.5,7.5625,4.427886486053467,357600
1992-06-25,7.6875,7.8125,7.6875,7.6875,4.501073837280273,785000
1992-06-26,7.6875,7.75,7.625,7.75,4.537666320800781,435000
1992-06-29,7.6875,7.8125,7.625,7.8125,4.574262619018555,386600
1992-06-30,7.8125,8.0625,7.8125,8.0625,4.720641136169434,884400
1992-07-01,7.875,7.9375,7.8125,7.875,4.610857009887695,552600
1992-07-02,7.9375,8.0625,7.6875,8.0625,4.720641136169434,1788200
1992-07-06,7.9375,7.9375,7.6875,7.75,4.537666320800781,580400
1992-07-07,7.8125,7.8125,7.1875,7.3125,4.281510829925537,1147000
1992-07-08,7.375,7.375,6.8125,6.9375,4.061945915222168,1192800
1992-07-09,6.9375,7.3125,6.9375,7.3125,4.281510829925537,2136600
1992-07-10,7.1875,7.25,7.0625,7.125,4.171728610992432,866200
1992-07-13,7.125,7.25,7.125,7.1875,4.208320617675781,846600
1992-07-14,7.125,7.25,7.125,7.25,4.244915008544922,990000
1992-07-15,7.25,7.375,7.25,7.3125,4.281510829925537,1080400
1992-07-16,7.25,7.3125,7.125,7.1875,4.208320617675781,2689000
1992-07-17,7.0625,7.3125,7.0625,7.3125,4.281510829925537,840400
1992-07-20,6.9375,7.1875,6.875,7.125,4.171728610992432,1228200
1992-07-21,7.0,7.25,7.0,7.125,4.171728610992432,1279600
1992-07-22,6.9375,7.5625,6.9375,7.375,4.3181047439575195,2743000
1992-07-23,7.3125,7.5,7.3125,7.3125,4.281510829925537,2203800
1992-07-24,7.25,7.5,7.25,7.4375,4.354699611663818,1404000
1992-07-27,7.4375,7.5625,7.3125,7.5,4.391294002532959,1308000
1992-07-28,7.4375,7.5625,7.375,7.5,4.391294002532959,1134400
1992-07-29,7.5,7.5625,7.25,7.375,4.3181047439575195,1697600
1992-07-30,7.4375,7.5,7.25,7.5,4.391294002532959,912800
1992-07-31,7.4375,7.5625,7.4375,7.5625,4.427886486053467,1303000
1992-08-03,7.5,7.6875,7.4375,7.6875,4.501073837280273,1616800
1992-08-04,7.6875,7.8125,7.6875,7.75,4.537666320800781,1457000
1992-08-05,7.75,7.8125,7.75,7.75,4.537666320800781,492000
1992-08-06,7.6875,7.75,7.5,7.625,4.464479446411133,1277800
1992-08-07,7.4375,7.5625,7.4375,7.5,4.391294002532959,306200
1992-08-10,7.3125,7.5,7.25,7.4375,4.354699611663818,593000
